usage,timing_ms
1,2224.07
50,2274.33
50,2276.05
50,2377.46
1,2351.56
1,2353.54
1,2236.04
50,2173.35
1,2222.37
1,2332.09
1,2325.94
1,2324.18
1,2331.91
1,2272.24
1,2395.11
1,2458.93
1,2464.48
1,2298.29
1,2306.49
1,2211.22
1,2167.94
1,2162.98
2,2150.88
1,2268.36
2,2238.55
2,2241.15
2,2235.84
1,2217.76
2,2082.98
2,2265.99
2,2268.14
2,2278.88
2,2280.38
2,2292.36
2,2163.37
2,2163.68
2,2165.86
2,2458.4
2,2457.08
3,2256.45
2,2374.67
2,2260.4
2,2186.91
2,2259.79
2,2256.62
3,2305.97
3,2307.59
3,2305.75
3,2076.23
3,2168.65
3,2170.54
3,2169.81
3,2161.37
3,2172.2
3,2143.7
3,2142.1
3,2245.45
3,2176.32
3,2178.74
3,2179.18
3,2179.8
4,2181.45
3,2186.84
3,2188.06
4,2289.89
4,2289.07
3,2292.49
4,2291.95
4,2215.21
4,2160.15
4,2161.76
4,2163.22
4,2171.34
4,2173.53
4,2210.05
4,2163.53
4,2175.47
4,2120.05
4,2206.06
4,2206.64
4,2209.32
4,2207.3
5,2208.91
4,2205.93
5,2287.86
5,2226.05
4,2293.35
5,2295.08
5,2298.56
5,2158.38
5,2156.69
5,2175.77
5,2175.13
5,2176.97
5,2176.36
5,2232.17
5,2197.68
5,2113.96
5,2129.61
5,2130.01
5,2243.35
5,2243.83
5,2245.72
6,2245.93
6,2248.75
6,2255.48
6,2257.16
5,2265.97
6,2267.7
6,2147.73
6,2150.21
6,2208.58
6,2212.55
6,2203.92
6,2184.38
6,2173.06
6,2163.94
6,2097.01
6,2179.96
6,2131.89
6,2145.76
6,2148.57
6,2147.85
7,2146.05
7,2193.66
6,2190.82
7,2196.78
7,2199.98
7,2199.31
7,2103.13
7,2102.11
7,2171.18
7,2172.46
7,2175.49
7,2169.23
7,2172.2
7,2174.42
7,2072.05
7,2113.69
7,2124.37
7,2152.64
7,2154.21
7,2156.29
8,2162.56
8,2200.36
8,2201.67
7,2204.73
8,2205.22
8,2238.22
8,2104.06
8,2109.89
8,2155.93
8,2155.45
8,2156.68
8,2161.36
8,2170.51
8,2169.4
8,2070.82
8,2109.53
8,2083.16
8,2129.06
9,2131.55
8,2132.85
8,2142.2
9,2248.23
9,2247.52
9,2248.79
8,2251.75
9,2250.68
9,2119.71
9,2104.94
9,2169.86
9,2181.86
9,2181.31
9,2175.15
9,2174.17
9,2176.05
9,2084.76
9,2075.02
